molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,standard_value_norm,pIC50_values
CHEMBL309733,O=C(O[C@H]1[C@H](O)C[C@](OC(=O)c2cc(O)c(O)c(O)c2)(C(=O)O)C[C@H]1OC(=O)c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1,100000,inactive,648.482,0.6231,11,17,100000,4
CHEMBL407558,O=C1OC2COC(=O)c3cc(O)c(O)c(O)c3-c3c(O)c(O)c4oc(=O)c5c(c(O)c(O)c6oc(=O)c3c4c65)-c3c(cc(O)c(O)c3O)C(=O)OC2C2OC(=O)c3c(c(O)c(O)c(O)c3-c3c(O)c(O)c(O)c4c3C(=O)OC2[C@@H]4O)-c2c1cc(O)c(O)c2O,4000,inactive,1234.811,2.6112,20,34,4000,5.397940009
CHEMBL81646,Oc1cc(O)c2c(c1)O[C@@]1(c3ccc(O)c(O)c3)Oc3cc(O)c4c(c3C2[C@H]1O)O[C@H](c1ccc(O)c(O)c1)[C@H](O)C4,100000,inactive,576.51,2.7935,9,12,100000,4
CHEMBL480283,O=C(O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)c1cc(O)c(O)c(O)c1,100000,inactive,332.261,-2.2399,7,10,100000,4
CHEMBL522251,O=C(OC[C@H]1O[C@@H](OC(=O)c2cc(O)c(O)c(O)c2)[C@H](O)[C@@H](O)[C@@H]1O)c1cc(O)c(O)c(O)c1,100000,inactive,484.366,-1.2584,9,14,100000,4
CHEMBL310950,O=C(O[C@H]1OC2CC(=O)c3cc(O)c(O)c(O)c3-c3c(cc(O)c(O)c3O)C(=O)OC2C2OC(=O)c3cc(O)c(O)c(O)c3-c3c(cc(O)c(O)c3O)C(=O)OC21)c1cc(O)c(O)c(O)c1,3000,inactive,920.65,2.0629,15,25,3000,5.522878745
CHEMBL1159461,O=C1O[C@H]2[C@H](O)[C@@H](OC(=O)c3cc(O)c(O)c4c3C3C1=CC(=O)C(O)(O)C3(O)O4)[C@@H](OC(=O)c1cc(O)c(O)c(O)c1)O[C@@H]2CO,86000,inactive,650.454,-3.0449,10,19,86000,4.065501549
CHEMBL36432,CC1(C)CC[C@]2(C(=O)O)CC[C@]3(C)C(=CCC4[C@@]5(C)C[C@@H](O)[C@@H]6OC(=O)c7cc(O)c(O)c(O)c7-c7c(cc(O)c(O)c7O)C(=O)OC[C@@]6(CO)C5CC[C@]43C)C2C1,23000,inactive,806.902,6.0926,9,13,23000,4.638272164
CHEMBL39504,O=C(O[C@@H]1[C@@H](c2c(O)cc(O)c3c2O[C@H](c2ccc(O)c(O)c2)[C@H](OC(=O)c2cc(O)c(O)c(O)c2)C3)c2c(O)cc(O)cc2O[C@@H]1c1ccc(O)c(O)c1)c1cc(O)c(O)c(O)c1,4000,inactive,882.736,4.958,14,20,4000,5.397940009
CHEMBL66,O=C1c2c(O)cc(O)cc2O[C@H](c2ccc(O)c(O)c2)[C@H]1O,100000,inactive,304.254,1.1863,5,7,100000,4
